PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31304866","Regions and Connections: Complementary Approaches to Characterize Brain Organization and Function","Horien C, Greene AS, Constable RT, Scheinost D.","Neuroscientist. 2020 Apr;26(2):117-133. doi: 10.1177/1073858419860115. Epub 2019 Jul 14.","Horien C","Neuroscientist","2020","2019/07/16","PMC7079335","","10.1177/1073858419860115"
"32846124","How Tasks Change Whole-Brain Functional Organization to Reveal Brain-Phenotype Relationships","Greene AS, Gao S, Noble S, Scheinost D, Constable RT.","Cell Rep. 2020 Aug 25;32(8):108066. doi: 10.1016/j.celrep.2020.108066.","Greene AS","Cell Rep","2020","2020/08/27","PMC7469925","NIHMS1623733","10.1016/j.celrep.2020.108066"
"33181393","Behavioral and brain signatures of substance use vulnerability in childhood","Rapuano KM, Rosenberg MD, Maza MT, Dennis NJ, Dorji M, Greene AS, Horien C, Scheinost D, Todd Constable R, Casey BJ.","Dev Cogn Neurosci. 2020 Dec;46:100878. doi: 10.1016/j.dcn.2020.100878. Epub 2020 Nov 3.","Rapuano KM","Dev Cogn Neurosci","2020","2020/11/12","PMC7662869","","10.1016/j.dcn.2020.100878"
"28219775","Topographic organization of the cerebral cortex and brain cartography","Eickhoff SB, Constable RT, Yeo BTT.","Neuroimage. 2018 Apr 15;170:332-347. doi: 10.1016/j.neuroimage.2017.02.018. Epub 2017 Feb 20.","Eickhoff SB","Neuroimage","2018","2017/02/22","PMC5563483","NIHMS856150","10.1016/j.neuroimage.2017.02.018"
"30831310","Ten simple rules for predictive modeling of individual differences in neuroimaging","Scheinost D, Noble S, Horien C, Greene AS, Lake EM, Salehi M, Gao S, Shen X, O'Connor D, Barron DS, Yip SW, Rosenberg MD, Constable RT.","Neuroimage. 2019 Jun;193:35-45. doi: 10.1016/j.neuroimage.2019.02.057. Epub 2019 Mar 1.","Scheinost D","Neuroimage","2019","2019/03/05","PMC6521850","NIHMS1524144","10.1016/j.neuroimage.2019.02.057"
"31852625","Cluster failure or power failure? Evaluating sensitivity in cluster-level inference","Noble S, Scheinost D, Constable RT.","Neuroimage. 2020 Apr 1;209:116468. doi: 10.1016/j.neuroimage.2019.116468. Epub 2019 Dec 15.","Noble S","Neuroimage","2020","2019/12/20","PMC8061745","NIHMS1688246","10.1016/j.neuroimage.2019.116468"
"32019892","Functional connectivity predicts changes in attention observed across minutes, days, and months","Rosenberg MD, Scheinost D, Greene AS, Avery EW, Kwon YH, Finn ES, Ramani R, Qiu M, Constable RT, Chun MM.","Proc Natl Acad Sci U S A. 2020 Feb 18;117(7):3797-3807. doi: 10.1073/pnas.1912226117. Epub 2020 Feb 4.","Rosenberg MD","Proc Natl Acad Sci U S A","2020","2020/02/06","PMC7035597","","10.1073/pnas.1912226117"
"12630681","MR physics of body MR imaging","Constable RT.","Radiol Clin North Am. 2003 Jan;41(1):1-15, v. doi: 10.1016/s0033-8389(02)00070-2.","Constable RT","Radiol Clin North Am","2003","2003/03/13","","","10.1016/s0033-8389(02)00070-2"
"31511876","Differential Resting State Connectivity Responses to Glycemic State in Type 1 Diabetes","Parikh L, Seo D, Lacadie C, Belfort-Deaguiar R, Groskreutz D, Hamza M, Dai F, Scheinost D, Sinha R, Todd Constable R, Sherwin R, Hwang JJ.","J Clin Endocrinol Metab. 2020 Jan 1;105(1):1-13. doi: 10.1210/clinem/dgz004.","Parikh L","J Clin Endocrinol Metab","2020","2019/09/13","PMC6936965","","10.1210/clinem/dgz004"
"32312809","Loss of nucleus accumbens low-frequency fluctuations is a signature of chronic pain","Makary MM, Polosecki P, Cecchi GA, DeAraujo IE, Barron DS, Constable TR, Whang PG, Thomas DA, Mowafi H, Small DM, Geha P.","Proc Natl Acad Sci U S A. 2020 May 5;117(18):10015-10023. doi: 10.1073/pnas.1918682117. Epub 2020 Apr 20.","Makary MM","Proc Natl Acad Sci U S A","2020","2020/04/22","PMC7211984","","10.1073/pnas.1918682117"
"31691371","Extracellular pH mapping of liver cancer on a clinical 3T MRI scanner","Coman D, Peters DC, Walsh JJ, Savic LJ, Huber S, Sinusas AJ, Lin M, Chapiro J, Constable RT, Rothman DL, Duncan JS, Hyder F.","Magn Reson Med. 2020 May;83(5):1553-1564. doi: 10.1002/mrm.28035. Epub 2019 Nov 5.","Coman D","Magn Reson Med","2020","2019/11/07","PMC7244229","NIHMS1588332","10.1002/mrm.28035"
"32560939","Connectome-based models can predict early symptom improvement in major depressive disorder","Ju Y, Horien C, Chen W, Guo W, Lu X, Sun J, Dong Q, Liu B, Liu J, Yan D, Wang M, Zhang L, Guo H, Zhao F, Zhang Y, Shen X, Constable RT, Li L.","J Affect Disord. 2020 Aug 1;273:442-452. doi: 10.1016/j.jad.2020.04.028. Epub 2020 May 11.","Ju Y","J Affect Disord","2020","2020/06/21","","","10.1016/j.jad.2020.04.028"
"33318557","Low-motion fMRI data can be obtained in pediatric participants undergoing a 60-minute scan protocol","Horien C, Fontenelle S 4th, Joseph K, Powell N, Nutor C, Fortes D, Butler M, Powell K, Macris D, Lee K, Greene AS, McPartland JC, Volkmar FR, Scheinost D, Chawarska K, Constable RT.","Sci Rep. 2020 Dec 14;10(1):21855. doi: 10.1038/s41598-020-78885-z.","Horien C","Sci Rep","2020","2020/12/15","PMC7736342","","10.1038/s41598-020-78885-z"
"30760731","Clinical Potential of a New Approach to MRI Acceleration","Dispenza NL, Littin S, Zaitsev M, Constable RT, Galiana G.","Sci Rep. 2019 Feb 13;9(1):1912. doi: 10.1038/s41598-018-36802-5.","Dispenza NL","Sci Rep","2019","2019/02/15","PMC6374397","","10.1038/s41598-018-36802-5"
"28373122","Can brain state be manipulated to emphasize individual differences in functional connectivity?","Finn ES, Scheinost D, Finn DM, Shen X, Papademetris X, Constable RT.","Neuroimage. 2017 Oct 15;160:140-151. doi: 10.1016/j.neuroimage.2017.03.064. Epub 2017 Mar 31.","Finn ES","Neuroimage","2017","2017/04/05","","","10.1016/j.neuroimage.2017.03.064"
"30676447","Understanding the Learning Disabilities Linked to Sagittal Craniosynostosis","Cabrejo R, Lacadie C, Brooks E, Beckett J, Sun A, Yang J, Chuang C, Eilbott J, Duncan C, Steinbacher D, Alperovich M, Ventola P, Pelphrey K, Constable T, Persing J.","J Craniofac Surg. 2019 Mar/Apr;30(2):497-502. doi: 10.1097/SCS.0000000000005194.","Cabrejo R","J Craniofac Surg","2019","2019/01/25","","","10.1097/SCS.0000000000005194"
"24465837","Single echo MRI","Galiana G, Constable RT.","PLoS One. 2014 Jan 21;9(1):e86008. doi: 10.1371/journal.pone.0086008. eCollection 2014.","Galiana G","PLoS One","2014","2014/01/28","PMC3897604","","10.1371/journal.pone.0086008"
"27757062","Individual variation in functional brain connectivity: implications for personalized approaches to psychiatric disease","Finn ES, Todd Constable R.","Dialogues Clin Neurosci. 2016 Sep;18(3):277-287. doi: 10.31887/DCNS.2016.18.3/efinn.","Finn ES","Dialogues Clin Neurosci","2016","2016/10/21","PMC5067145","","10.31887/DCNS.2016.18.3/efinn"
"33345271","Transdiagnostic, Connectome-Based Prediction of Memory Constructs Across Psychiatric Disorders","Barron DS, Gao S, Dadashkarimi J, Greene AS, Spann MN, Noble S, Lake EMR, Krystal JH, Constable RT, Scheinost D.","Cereb Cortex. 2021 Mar 31;31(5):2523-2533. doi: 10.1093/cercor/bhaa371.","Barron DS","Cereb Cortex","2021","2020/12/21","PMC8023861","","10.1093/cercor/bhaa371"
"31659926","Distributed Patterns of Functional Connectivity Predict Working Memory Performance in Novel Healthy and Memory-impaired Individuals","Avery EW, Yoo K, Rosenberg MD, Greene AS, Gao S, Na DL, Scheinost D, Constable TR, Chun MM.","J Cogn Neurosci. 2020 Feb;32(2):241-255. doi: 10.1162/jocn_a_01487. Epub 2019 Oct 29.","Avery EW","J Cogn Neurosci","2020","2019/10/30","PMC8004893","NIHMS1678110","10.1162/jocn_a_01487"
"27859973","Reorganization of brain connectivity in obesity","Geha P, Cecchi G, Todd Constable R, Abdallah C, Small DM.","Hum Brain Mapp. 2017 Mar;38(3):1403-1420. doi: 10.1002/hbm.23462. Epub 2016 Nov 16.","Geha P","Hum Brain Mapp","2017","2016/11/19","PMC6866793","","10.1002/hbm.23462"
"31740342","There is no single functional atlas even for a single individual: Functional parcel definitions change with task","Salehi M, Greene AS, Karbasi A, Shen X, Scheinost D, Constable RT.","Neuroimage. 2020 Mar;208:116366. doi: 10.1016/j.neuroimage.2019.116366. Epub 2019 Nov 15.","Salehi M","Neuroimage","2020","2019/11/20","","","10.1016/j.neuroimage.2019.116366"
"25800207","Predicting moment-to-moment attentional state","Rosenberg MD, Finn ES, Constable RT, Chun MM.","Neuroimage. 2015 Jul 1;114:249-56. doi: 10.1016/j.neuroimage.2015.03.032. Epub 2015 Mar 20.","Rosenberg MD","Neuroimage","2015","2015/03/25","","","10.1016/j.neuroimage.2015.03.032"
"33288916","A hitchhiker's guide to working with large, open-source neuroimaging datasets","Horien C, Noble S, Greene AS, Lee K, Barron DS, Gao S, O'Connor D, Salehi M, Dadashkarimi J, Shen X, Lake EMR, Constable RT, Scheinost D.","Nat Hum Behav. 2021 Feb;5(2):185-193. doi: 10.1038/s41562-020-01005-4. Epub 2020 Dec 7.","Horien C","Nat Hum Behav","2021","2020/12/08","PMC7992920","NIHMS1676904","10.1038/s41562-020-01005-4"
"27746386","Multisite reliability of MR-based functional connectivity","Noble S, Scheinost D, Finn ES, Shen X, Papademetris X, McEwen SC, Bearden CE, Addington J, Goodyear B, Cadenhead KS, Mirzakhanian H, Cornblatt BA, Olvet DM, Mathalon DH, McGlashan TH, Perkins DO, Belger A, Seidman LJ, Thermenos H, Tsuang MT, van Erp TGM, Walker EF, Hamann S, Woods SW, Cannon TD, Constable RT.","Neuroimage. 2017 Feb 1;146:959-970. doi: 10.1016/j.neuroimage.2016.10.020. Epub 2016 Oct 13.","Noble S","Neuroimage","2017","2016/10/18","PMC5322153","NIHMS827655","10.1016/j.neuroimage.2016.10.020"
"31336188","Combining multiple connectomes improves predictive modeling of phenotypic measures","Gao S, Greene AS, Constable RT, Scheinost D.","Neuroimage. 2019 Nov 1;201:116038. doi: 10.1016/j.neuroimage.2019.116038. Epub 2019 Jul 20.","Gao S","Neuroimage","2019","2019/07/24","PMC6765422","NIHMS1536437","10.1016/j.neuroimage.2019.116038"
"28882628","An exemplar-based approach to individualized parcellation reveals the need for sex specific functional networks","Salehi M, Karbasi A, Shen X, Scheinost D, Constable RT.","Neuroimage. 2018 Apr 15;170:54-67. doi: 10.1016/j.neuroimage.2017.08.068. Epub 2017 Sep 5.","Salehi M","Neuroimage","2018","2017/09/09","PMC5905726","NIHMS957136","10.1016/j.neuroimage.2017.08.068"
"30652391","Multisite reliability and repeatability of an advanced brain MRI protocol","Schwartz DL, Tagge I, Powers K, Ahn S, Bakshi R, Calabresi PA, Todd Constable R, Grinstead J, Henry RG, Nair G, Papinutto N, Pelletier D, Shinohara R, Oh J, Reich DS, Sicotte NL, Rooney WD; NAIMS Cooperative.","J Magn Reson Imaging. 2019 Sep;50(3):878-888. doi: 10.1002/jmri.26652. Epub 2019 Jan 16.","Schwartz DL","J Magn Reson Imaging","2019","2019/01/18","PMC6636359","NIHMS1004917","10.1002/jmri.26652"
"17614359","Nanosystems for simultaneous imaging and drug delivery to T cells","Fahmy TM, Fong PM, Park J, Constable T, Saltzman WM.","AAPS J. 2007 Jun 8;9(2):E171-80. doi: 10.1208/aapsj0902019.","Fahmy TM","AAPS J","2007","2007/07/07","PMC2751406","","10.1208/aapsj0902019"
"27027605","Functional magnetic resonance connectivity studies in infants born preterm: suggestions of proximate and long-lasting changes in language organization","Kwon SH, Scheinost D, Vohr B, Lacadie C, Schneider K, Dai F, Sze G, Constable RT, Ment LR.","Dev Med Child Neurol. 2016 Mar;58 Suppl 4(Suppl 4):28-34. doi: 10.1111/dmcn.13043.","Kwon SH","Dev Med Child Neurol","2016","2016/03/31","PMC6426123","NIHMS1012645","10.1111/dmcn.13043"
"17914344","Injury and recovery in the developing brain: evidence from functional MRI studies of prematurely born children","Ment LR, Constable RT.","Nat Clin Pract Neurol. 2007 Oct;3(10):558-71. doi: 10.1038/ncpneuro0616.","Ment LR","Nat Clin Pract Neurol","2007","2007/10/05","PMC2673538","NIHMS108252","10.1038/ncpneuro0616"
"33244627","Structural and functional brain changes in hepatic and neurological Wilson disease","Tinaz S, Arora J, Nalamada K, Vives-Rodriguez A, Sezgin M, Robakis D, Patel A, Constable RT, Schilsky ML.","Brain Imaging Behav. 2021 Oct;15(5):2269-2282. doi: 10.1007/s11682-020-00420-5. Epub 2020 Nov 26.","Tinaz S","Brain Imaging Behav","2021","2020/11/27","","","10.1007/s11682-020-00420-5"
"27834394","The central vein sign and its clinical evaluation for the diagnosis of multiple sclerosis: a consensus statement from the North American Imaging in Multiple Sclerosis Cooperative","Sati P, Oh J, Constable RT, Evangelou N, Guttmann CR, Henry RG, Klawiter EC, Mainero C, Massacesi L, McFarland H, Nelson F, Ontaneda D, Rauscher A, Rooney WD, Samaraweera AP, Shinohara RT, Sobel RA, Solomon AJ, Treaba CA, Wuerfel J, Zivadinov R, Sicotte NL, Pelletier D, Reich DS; NAIMS Cooperative.","Nat Rev Neurol. 2016 Dec;12(12):714-722. doi: 10.1038/nrneurol.2016.166. Epub 2016 Nov 11.","Sati P","Nat Rev Neurol","2016","2016/11/12","","","10.1038/nrneurol.2016.166"
"30721751","The individual functional connectome is unique and stable over months to years","Horien C, Shen X, Scheinost D, Constable RT.","Neuroimage. 2019 Apr 1;189:676-687. doi: 10.1016/j.neuroimage.2019.02.002. Epub 2019 Feb 2.","Horien C","Neuroimage","2019","2019/02/06","PMC6422733","NIHMS1521082","10.1016/j.neuroimage.2019.02.002"
"30882572","What is the Functional Difference Between Sagittal With Metopic and Isolated Sagittal Craniosynotosis?","Cabrejo R, Lacadie C, Chuang C, Yang J, Sun A, Brooks E, Beckett J, Eilbott J, Gabrick K, Steinbacher D, Alperovich M, Pelphrey K, Ventola P, Constable T, Persing JA.","J Craniofac Surg. 2019 Jun;30(4):968-973. doi: 10.1097/SCS.0000000000005288.","Cabrejo R","J Craniofac Surg","2019","2019/03/19","","","10.1097/SCS.0000000000005288"
"26494796","Alterations in Anatomical Covariance in the Prematurely Born","Scheinost D, Kwon SH, Lacadie C, Vohr BR, Schneider KC, Papademetris X, Constable RT, Ment LR.","Cereb Cortex. 2017 Jan 1;27(1):534-543. doi: 10.1093/cercor/bhv248.","Scheinost D","Cereb Cortex","2017","2015/10/24","PMC5939217","","10.1093/cercor/bhv248"
"30022026","Task-induced brain state manipulation improves prediction of individual traits","Greene AS, Gao S, Scheinost D, Constable RT.","Nat Commun. 2018 Jul 18;9(1):2807. doi: 10.1038/s41467-018-04920-3.","Greene AS","Nat Commun","2018","2018/07/20","PMC6052101","","10.1038/s41467-018-04920-3"
"31286688","An information network flow approach for measuring functional connectivity and predicting behavior","Kumar S, Yoo K, Rosenberg MD, Scheinost D, Constable RT, Zhang S, Li CR, Chun MM.","Brain Behav. 2019 Aug;9(8):e01346. doi: 10.1002/brb3.1346. Epub 2019 Jul 9.","Kumar S","Brain Behav","2019","2019/07/10","PMC6710195","","10.1002/brb3.1346"
"29660081","Data-Driven Analysis of Functional Connectivity Reveals a Potential Auditory Verbal Hallucination Network","Scheinost D, Tokoglu F, Hampson M, Hoffman R, Constable RT.","Schizophr Bull. 2019 Mar 7;45(2):415-424. doi: 10.1093/schbul/sby039.","Scheinost D","Schizophr Bull","2019","2018/04/17","PMC6403094","","10.1093/schbul/sby039"
"17032778","Neural correlates of epigenesis","Canli T, Qiu M, Omura K, Congdon E, Haas BW, Amin Z, Herrmann MJ, Constable RT, Lesch KP.","Proc Natl Acad Sci U S A. 2006 Oct 24;103(43):16033-8. doi: 10.1073/pnas.0601674103. Epub 2006 Oct 10.","Canli T","Proc Natl Acad Sci U S A","2006","2006/10/13","PMC1592642","","10.1073/pnas.0601674103"
"31494250","A decade of test-retest reliability of functional connectivity: A systematic review and meta-analysis","Noble S, Scheinost D, Constable RT.","Neuroimage. 2019 Dec;203:116157. doi: 10.1016/j.neuroimage.2019.116157. Epub 2019 Sep 5.","Noble S","Neuroimage","2019","2019/09/09","PMC6907736","NIHMS1543663","10.1016/j.neuroimage.2019.116157"
"28544168","Presurgical language fMRI: Mapping of six critical regions","Benjamin CF, Walshaw PD, Hale K, Gaillard WD, Baxter LC, Berl MM, Polczynska M, Noble S, Alkawadri R, Hirsch LJ, Constable RT, Bookheimer SY.","Hum Brain Mapp. 2017 Aug;38(8):4239-4255. doi: 10.1002/hbm.23661. Epub 2017 May 23.","Benjamin CF","Hum Brain Mapp","2017","2017/05/26","PMC5518223","","10.1002/hbm.23661"
"26341628","Preterm birth alters neonatal, functional rich club organization","Scheinost D, Kwon SH, Shen X, Lacadie C, Schneider KC, Dai F, Ment LR, Constable RT.","Brain Struct Funct. 2016 Jul;221(6):3211-22. doi: 10.1007/s00429-015-1096-6. Epub 2015 Sep 4.","Scheinost D","Brain Struct Funct","2016","2015/09/06","PMC4779074","NIHMS721249","10.1007/s00429-015-1096-6"
"26595653","A neuromarker of sustained attention from whole-brain functional connectivity","Rosenberg MD, Finn ES, Scheinost D, Papademetris X, Shen X, Constable RT, Chun MM.","Nat Neurosci. 2016 Jan;19(1):165-71. doi: 10.1038/nn.4179. Epub 2015 Nov 23.","Rosenberg MD","Nat Neurosci","2016","2015/11/24","PMC4696892","NIHMS734190","10.1038/nn.4179"
"27876569","O-space with high resolution readouts outperforms radial imaging","Wang H, Tam L, Kopanoglu E, Peters DC, Constable RT, Galiana G.","Magn Reson Imaging. 2017 Apr;37:107-115. doi: 10.1016/j.mri.2016.11.012. Epub 2016 Nov 20.","Wang H","Magn Reson Imaging","2017","2016/11/24","PMC5316340","NIHMS833269","10.1016/j.mri.2016.11.012"
"25950279","Fast rotary nonlinear spatial acquisition (FRONSAC) imaging","Wang H, Tam LK, Constable RT, Galiana G.","Magn Reson Med. 2016 Mar;75(3):1154-65. doi: 10.1002/mrm.25703. Epub 2015 May 7.","Wang H","Magn Reson Med","2016","2015/05/08","PMC4637004","NIHMS670995","10.1002/mrm.25703"
"32521570","Altered frontal cortex functioning in emotion regulation and hopelessness in bipolar disorder","Sankar A, Purves K, Colic L, Cox Lippard ET, Millard H, Fan S, Spencer L, Wang F, Pittman B, Constable RT, Gross JJ, Blumberg HP.","Bipolar Disord. 2021 Mar;23(2):152-164. doi: 10.1111/bdi.12954. Epub 2020 Jul 21.","Sankar A","Bipolar Disord","2021","2020/06/11","PMC7790437","NIHMS1655674","10.1111/bdi.12954"
"33321271","Brain anatomical covariation patterns linked to binge drinking and age at first full drink","Zhao Y, Constable RT, Hien D, Chung T, Potenza MN.","Neuroimage Clin. 2021;29:102529. doi: 10.1016/j.nicl.2020.102529. Epub 2020 Dec 8.","Zhao Y","Neuroimage Clin","2021","2020/12/15","PMC7745054","","10.1016/j.nicl.2020.102529"
"30521950","Dynamic functional connectivity during task performance and rest predicts individual differences in attention across studies","Fong AHC, Yoo K, Rosenberg MD, Zhang S, Li CR, Scheinost D, Constable RT, Chun MM.","Neuroimage. 2019 Mar;188:14-25. doi: 10.1016/j.neuroimage.2018.11.057. Epub 2018 Dec 3.","Fong AHC","Neuroimage","2019","2018/12/07","PMC6401236","NIHMS1516253","10.1016/j.neuroimage.2018.11.057"
"33858592","Imaging and Reimagining the Mind: fMRI and Psychiatric Illness","Horien C, Constable RT, Ross DA.","Biol Psychiatry. 2021 May 1;89(9):e45-e47. doi: 10.1016/j.biopsych.2021.02.013.","Horien C","Biol Psychiatry","2021","2021/04/16","","","10.1016/j.biopsych.2021.02.013"
"29040013","Connectome-based Models Predict Separable Components of Attention in Novel Individuals","Rosenberg MD, Hsu WT, Scheinost D, Todd Constable R, Chun MM.","J Cogn Neurosci. 2018 Feb;30(2):160-173. doi: 10.1162/jocn_a_01197. Epub 2017 Oct 17.","Rosenberg MD","J Cogn Neurosci","2018","2017/10/18","","","10.1162/jocn_a_01197"
"27432990","Dynamic neural activity during stress signals resilient coping","Sinha R, Lacadie CM, Constable RT, Seo D.","Proc Natl Acad Sci U S A. 2016 Aug 2;113(31):8837-42. doi: 10.1073/pnas.1600965113. Epub 2016 Jul 18.","Sinha R","Proc Natl Acad Sci U S A","2016","2016/07/20","PMC4978278","","10.1073/pnas.1600965113"
"33848621","Resample aggregating improves the generalizability of connectome predictive modeling","O'Connor D, Lake EMR, Scheinost D, Constable RT.","Neuroimage. 2021 Aug 1;236:118044. doi: 10.1016/j.neuroimage.2021.118044. Epub 2021 Apr 10.","O'Connor D","Neuroimage","2021","2021/04/13","PMC8282199","NIHMS1722727","10.1016/j.neuroimage.2021.118044"
"27629707","Methylphenidate Modulates Functional Network Connectivity to Enhance Attention","Rosenberg MD, Zhang S, Hsu WT, Scheinost D, Finn ES, Shen X, Constable RT, Li CS, Chun MM.","J Neurosci. 2016 Sep 14;36(37):9547-57. doi: 10.1523/JNEUROSCI.1746-16.2016.","Rosenberg MD","J Neurosci","2016","2016/09/16","PMC5039242","","10.1523/JNEUROSCI.1746-16.2016"
"31039408","Multivariate approaches improve the reliability and validity of functional connectivity and prediction of individual behaviors","Yoo K, Rosenberg MD, Noble S, Scheinost D, Constable RT, Chun MM.","Neuroimage. 2019 Aug 15;197:212-223. doi: 10.1016/j.neuroimage.2019.04.060. Epub 2019 Apr 27.","Yoo K","Neuroimage","2019","2019/05/01","PMC6591084","NIHMS1528592","10.1016/j.neuroimage.2019.04.060"
"24451659","Cerebral Lateralization is Protective in the Very Prematurely Born","Scheinost D, Lacadie C, Vohr BR, Schneider KC, Papademetris X, Constable RT, Ment LR.","Cereb Cortex. 2015 Jul;25(7):1858-66. doi: 10.1093/cercor/bht430. Epub 2014 Jan 22.","Scheinost D","Cereb Cortex","2015","2014/01/24","PMC4459290","","10.1093/cercor/bht430"
"29373729","Resting-state functional connectivity predicts neuroticism and extraversion in novel individuals","Hsu WT, Rosenberg MD, Scheinost D, Constable RT, Chun MM.","Soc Cogn Affect Neurosci. 2018 Feb 1;13(2):224-232. doi: 10.1093/scan/nsy002.","Hsu WT","Soc Cogn Affect Neurosci","2018","2018/01/27","PMC5827338","","10.1093/scan/nsy002"
